Trait,Chicken (farms),Environment (farms),Food Workers,Symptomatic humans,Retail meat (Chicken or pork),Non-food Workers,,Serovars
mphA_IS6100@IS6@nan,0,0,2,0,0,0,,12
mphE_msrE_ISSpu10@IS5@IS427,0,0,7,0,0,0,,2
oqxA_oqxB_IS1A@IS1@nan_IS1X4@IS1@nan_ISSen4@IS3@IS407_Tn5403@Tn3@nan,0,0,1,0,0,1,,2
oqxA_oqxB_IS1X4@IS1@nan_ISSen4@IS3@IS407_Tn5403@Tn3@nan,0,0,5,0,0,0,,1
QnrS1_floR_tet(A)_ISKpn19@ISKra4@ISAzba1_ISVsa3@ISCR@nan,0,0,11,0,0,0,,3
QnrS1_ISKpn19@ISKra4@ISAzba1,25,4,220,7,13,26,,27
QnrS1_TEM-1_Tn2@Tn3@nan,0,0,3,0,0,0,,1
QnrS1_TEM-150_ISKpn19@ISKra4@ISAzba1,0,0,27,0,0,4,,1
QnrS1_TEM-150_ISKpn19@ISKra4@ISAzba1_Tn3@Tn3@nan,0,0,9,0,0,2,,1
QnrS1_TEM-150_tet(A)_ISKpn19@ISKra4@ISAzba1,0,0,15,0,0,1,,1
QnrS1_TEM-150_Tn3@Tn3@nan,0,0,0,0,0,1,,1
QnrS1_tet(A)_IS1X3@IS1@nan_IS903B@IS5@IS903_ISKpn19@ISKra4@ISAzba1,0,0,1,0,0,0,,1
QnrS1_tet(A)_IS26@IS6@nan_ISKpn19@ISKra4@ISAzba1,0,0,1,0,0,0,,1
QnrS1_tet(A)_IS903B@IS5@IS903_ISKpn19@ISKra4@ISAzba1,0,0,0,0,2,0,,1
QnrS1_tet(A)_ISKpn19@ISKra4@ISAzba1,1,0,79,3,0,8,,15
sul1_IS15DIV@IS6@nan,0,0,0,1,0,0,,1
sul2_IS1006@IS6@nan,0,0,2,0,0,0,,2
sul2_IS1006@IS6@nan_ISAba1@IS4@IS10,0,0,2,0,3,3,,5
sul2_IS5075@IS110@IS1111,0,0,2,0,0,0,,1
sul2_ISAba1@IS4@IS10,3,2,226,10,44,34,,18
sul2_ISVsa3@ISCR@nan,0,0,3,0,0,1,,2
sul3_IS1R@IS1@nan,0,0,28,0,0,2,,3
sul3_ISKpn26@IS5@IS5,0,0,2,0,0,0,,1
TEM-1_floR_ISVsa3@ISCR@nan,0,0,2,0,0,1,,1
TEM-1_IS1294@IS91@nan,0,0,2,0,0,0,,1
TEM-1_IS1S@IS1@nan_ISRor7@Tn3@nan,0,0,5,0,3,1,,2
TEM-1_ISCfr1@IS1182@nan,0,0,3,0,0,1,,1
TEM-1_ISRor7@Tn3@nan,0,0,2,0,3,0,,1
TEM-1_tet(A)_IS26@IS6@nan,0,0,1,0,0,0,,1
TEM-1_tet(A)_IS6100@IS6@nan,0,0,0,1,0,0,,1
TEM-1_tet(B)_IS10L@IS4@IS10_IS1R@IS1@nan,0,0,1,0,2,0,,1
TEM-1_tet(D)_Tn2@Tn3@nan,0,0,4,0,0,0,,3
TEM-1_Tn2@Tn3@nan,3,2,17,7,7,5,,4
TEM-150_floR_ISKpn19@ISKra4@ISAzba1_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
TEM-150_floR_ISVsa3@ISCR@nan,0,0,26,0,1,8,,3
TEM-150_IS1X2@IS1@nan_ISRor7@Tn3@nan,0,0,1,0,0,0,,1
tet(A)_IS26@IS6@nan,0,0,6,0,0,1,,3
tet(A)_IS4321R@IS110@IS1111,0,0,0,1,0,0,,1
tet(A)_ISKpn19@ISKra4@ISAzba1,0,0,4,0,0,0,,2
tet(B)_IS10L@IS4@IS10,0,0,125,17,37,13,,2
tet(B)_IS10L@IS4@IS10_IS1A@IS1@nan,0,0,2,0,0,0,,1
tet(B)_IS10L@IS4@IS10_IS1R@IS1@nan,0,0,100,18,65,5,,3
tet(B)_IS10L@IS4@IS10_IS1R@IS1@nan_ISSty2@IS3@IS3,0,0,9,1,2,1,,2
tet(B)_IS10L@IS4@IS10_ISKpn74@IS5@IS903,0,0,3,0,0,0,,2
tet(B)_IS1A@IS1@nan,0,0,0,0,0,1,,1
tet(B)_IS1R@IS1@nan,0,0,26,10,18,4,,3
tet(B)_IS1R@IS1@nan_ISSty2@IS3@IS3,0,0,0,0,1,1,,2
tet(B)_ISKpn74@IS5@IS903,0,0,1,0,0,0,,1
tet(M)_IS1X2@IS1@nan,0,0,2,0,0,1,,2
